date,average,count,min,max,measurement_network_name,measurement_network_displayname,measurement_network_id,measurement_network_tag
2022-03-13T19:00:00,16879.0,24.0,5475.0,49054.0,,,,
2022-03-13T20:00:00,16569.0,27.0,3758.0,62474.0,,,,
2022-03-13T21:00:00,15751.0,24.0,4625.0,33722.0,,,,
2022-03-13T22:00:00,40862.0,24.0,5366.0,283296.0,,,,
2022-03-13T23:00:00,22911.0,24.0,5674.0,62739.0,,,,
2022-03-14T00:00:00,15442.0,27.0,4808.0,42922.0,,,,
2022-03-14T01:00:00,12959.0,24.0,4237.0,30750.0,,,,
2022-03-14T02:00:00,18656.0,24.0,4799.0,35850.0,,,,
2022-03-14T03:00:00,25215.0,24.0,5734.0,122929.0,,,,
2022-03-14T04:00:00,13320.0,23.0,4837.0,35178.0,,,,
2022-03-14T05:00:00,21675.0,26.0,4181.0,177658.0,,,,
2022-03-14T06:00:00,17990.0,25.0,5071.0,60341.0,,,,
2022-03-14T07:00:00,26386.0,22.0,5712.0,210398.0,,,,
2022-03-14T08:00:00,14867.0,24.0,4558.0,49893.0,,,,
2022-03-14T09:00:00,26052.0,23.0,4769.0,167904.0,,,,
2022-03-14T10:00:00,20731.0,26.0,4214.0,60663.0,,,,
2022-03-14T11:00:00,27868.0,24.0,3641.0,201695.0,,,,
2022-03-14T12:00:00,30928.0,24.0,5525.0,189778.0,,,,
2022-03-14T13:00:00,16864.0,23.0,4960.0,35228.0,,,,
2022-03-14T14:00:00,35669.0,25.0,3987.0,416919.0,,,,
2022-03-14T15:00:00,40571.0,26.0,4537.0,361802.0,,,,
2022-03-14T16:00:00,23073.0,24.0,2847.0,74638.0,,,,
2022-03-14T17:00:00,27614.0,23.0,4652.0,120392.0,,,,
2022-03-14T18:00:00,52098.0,24.0,5645.0,731805.0,,,,
2022-03-14T19:00:00,22731.0,27.0,5442.0,79647.0,,,,
2022-03-14T20:00:00,37071.0,24.0,5422.0,176349.0,,,,
2022-03-14T21:00:00,19746.0,24.0,5799.0,105650.0,,,,
2022-03-14T22:00:00,17512.0,23.0,5674.0,43762.0,,,,
2022-03-14T23:00:00,23154.0,24.0,5665.0,54257.0,,,,
2022-03-15T00:00:00,22181.0,27.0,5271.0,74483.0,,,,
2022-03-15T01:00:00,19418.0,23.0,5289.0,42707.0,,,,
2022-03-15T02:00:00,18648.0,23.0,6762.0,45565.0,,,,
2022-03-15T03:00:00,16835.0,23.0,5363.0,53309.0,,,,
2022-03-15T04:00:00,16077.0,24.0,3621.0,80452.0,,,,
